Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
788,Paulo Dybala,ARG,FW,Juventus,Serie A,26,1993,12.6,0,0,0,10,30,4,24,3,11,0,0,0,58,1,11,8.3,Matches
789,Edin Džeko,BIH,FW,Roma,Serie A,34,1986,20.3,2,0,0,26,37,10,17,4,7,1,0,0,81,92,54,63.0,Matches
790,Eric Junior Dina Ebimbe,FRA,"FW,MF",Dijon,Ligue 1,19,2000,23.8,5,0,0,44,36,2,25,17,32,0,0,0,157,15,29,34.1,Matches
791,Steeve-Mike Ebongue,FRA,MF,Genoa,Serie A,19,2001,0.6,0,0,0,0,0,0,0,1,1,0,0,0,11,0,0,0.0,Matches
792,Enzo Ebosse,FRA,DF,Angers,Ligue 1,21,1999,2.9,1,0,0,3,4,0,3,1,3,0,0,0,20,1,2,33.3,Matches
793,Bruno Ecuele Manga,GAB,DF,Dijon,Ligue 1,32,1988,38.0,3,0,0,19,27,1,1,81,45,0,1,0,348,122,53,69.7,Matches
794,Simone Edera,ITA,"DF,MF",Torino,Serie A,23,1997,0.6,0,0,0,1,1,0,2,0,0,0,0,0,5,0,0,0.0,Matches
795,Ederson,BRA,GK,Manchester City,Premier League,26,1993,36.0,3,0,0,1,4,0,0,0,0,0,0,0,132,0,0,0.0,Matches
796,Kyle Edwards,ENG,"MF,FW",West Brom,Premier League,22,1998,1.3,0,0,0,1,1,0,1,1,0,0,0,0,9,0,0,0.0,Matches
797,John Egan,IRL,DF,Sheffield Utd,Premier League,27,1992,29.2,7,1,0,29,11,0,2,41,30,0,0,0,259,87,56,60.8,Matches
798,Johannes Eggestein,GER,"FW,MF",Werder Bremen,Bundesliga,22,1998,0.4,0,0,0,1,0,0,1,0,0,0,0,0,5,1,0,100.0,Matches
799,Maximilian Eggestein,GER,MF,Werder Bremen,Bundesliga,23,1996,32.7,5,0,0,32,39,1,15,43,44,0,0,0,352,42,57,42.4,Matches
800,Lilian Egloff,GER,MF,Stuttgart,Bundesliga,17,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
801,Kingsley Ehizibue,NED,DF,Köln,Bundesliga,25,1995,12.6,5,0,0,19,16,2,29,17,21,0,1,0,117,25,13,65.8,Matches
802,Albin Ekdal,SWE,MF,Sampdoria,Serie A,31,1989,25.5,9,0,0,49,57,0,3,34,49,0,1,0,309,38,29,56.7,Matches
803,Hugo Ekitike,FRA,"MF,FW",Reims,Ligue 1,18,2002,1.0,1,0,0,3,1,0,0,0,1,0,0,0,5,3,1,75.0,Matches
804,Anthony Elanga,SWE,FW,Manchester Utd,Premier League,18,2002,1.7,0,0,0,2,4,1,1,1,1,0,0,0,7,2,4,33.3,Matches
805,Niclas Eliasson,SWE,"MF,FW",Nîmes,Ligue 1,24,1995,20.0,1,0,0,26,40,4,68,22,24,0,0,0,98,23,49,31.9,Matches
806,Elif Elmas,MKD,"MF,FW",Napoli,Serie A,20,1999,8.2,3,0,0,10,8,1,4,5,9,0,0,0,48,1,7,12.5,Matches
807,Ahmed Elmohamady,EGY,DF,Aston Villa,Premier League,32,1987,9.3,2,0,0,6,3,0,32,27,13,0,0,0,97,27,9,75.0,Matches
808,Mohamed Elneny,EGY,MF,Arsenal,Premier League,28,1992,17.2,3,0,0,10,10,0,3,20,11,0,0,0,144,8,19,29.6,Matches
809,Aritz Elustondo,ESP,DF,Real Sociedad,La Liga,26,1994,20.9,5,0,0,22,27,1,7,8,17,0,1,1,209,59,42,58.4,Matches
810,Nico Elvedi,SUI,DF,M'Gladbach,Bundesliga,23,1996,28.2,1,0,0,14,14,1,2,64,33,0,0,0,273,95,51,65.1,Matches
811,Rodrigo Ely,BRA,DF,Alavés,La Liga,26,1993,5.2,1,0,0,8,2,0,0,2,3,0,0,0,50,16,2,88.9,Matches
812,Sepe Elye Wahi,FRA,FW,Montpellier,Ligue 1,17,2003,6.2,1,0,0,7,15,5,6,2,2,0,0,0,38,12,14,46.2,Matches
813,Breel Embolo,SUI,"FW,MF",M'Gladbach,Bundesliga,23,1997,16.0,4,0,0,34,55,11,10,6,14,3,0,0,96,36,62,36.7,Matches
814,Emerson,BRA,DF,Betis,La Liga,21,1999,33.2,9,1,0,56,73,3,74,67,60,1,1,1,249,56,37,60.2,Matches
815,Manu Emmanuel Gyabuaa,ITA,MF,Atalanta,Serie A,18,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
816,Renaud Emond,BEL,FW,Nantes,Ligue 1,28,1991,3.9,1,0,0,5,12,0,3,1,2,1,0,0,10,14,27,34.1,Matches
817,Alan Empereur,BRA,DF,Hellas Verona,Serie A,26,1994,2.4,1,0,0,3,1,0,0,5,1,0,0,0,24,3,5,37.5,Matches
818,Youssef En-Nesyri,MAR,FW,Sevilla,La Liga,23,1997,25.7,2,0,0,28,36,25,17,8,17,1,0,0,99,101,80,55.8,Matches
819,Keita Endo,JPN,"MF,FW",Union Berlin,Bundesliga,22,1997,5.1,0,0,0,9,13,2,10,9,4,0,0,0,37,8,14,36.4,Matches
820,Wataru Endo,JPN,MF,Stuttgart,Bundesliga,27,1993,32.8,5,0,0,45,54,0,5,47,62,1,0,0,394,67,46,59.3,Matches
821,Sergi Enrich,ESP,FW,Eibar,La Liga,30,1990,15.6,1,0,0,31,19,8,7,11,15,1,0,0,86,92,101,47.7,Matches
822,Christian Eriksen,DEN,MF,Inter,Serie A,28,1992,15.4,1,0,0,13,4,1,26,10,8,0,1,0,128,12,5,70.6,Matches
823,Martin Erlic,CRO,DF,Spezia,Serie A,22,1998,20.0,6,0,0,37,13,0,1,30,18,0,0,0,216,50,36,58.1,Matches
824,Patrick Erras,GER,"FW,MF",Werder Bremen,Bundesliga,25,1995,0.3,0,0,0,0,0,0,0,0,0,0,0,0,8,7,5,58.3,Matches
825,Gonzalo Escalante,ARG,MF,Lazio,Serie A,27,1993,8.1,5,0,0,14,9,0,0,9,19,0,0,0,118,16,18,47.1,Matches
826,Aarón Escandell,ESP,GK,Granada,La Liga,24,1995,5.0,1,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.0,Matches
827,Dani Escriche,ESP,"FW,MF",Huesca,La Liga,22,1998,9.5,5,1,0,20,16,6,4,8,13,1,0,0,62,17,33,34.0,Matches
828,Sergio Escudero,ESP,DF,Sevilla,La Liga,30,1989,6.3,3,0,0,8,7,1,13,7,8,0,0,0,43,12,6,66.7,Matches
829,Alfonso Espino,URU,DF,Cádiz,La Liga,28,1992,28.9,6,0,0,32,21,3,61,46,58,0,0,0,249,38,43,46.9,Matches
830,Vicente Esquerdo,ESP,MF,Valencia,La Liga,21,1999,2.6,1,0,0,3,0,0,2,5,6,0,0,0,18,2,3,40.0,Matches
831,Nahuel Estévez,ARG,MF,Spezia,Serie A,24,1995,19.6,7,0,0,33,22,0,51,32,13,0,0,0,160,15,23,39.5,Matches
832,Pervis Estupiñán,ECU,DF,Villarreal,La Liga,22,1998,13.0,1,0,0,24,20,6,61,29,24,1,1,0,132,11,15,42.3,Matches
833,Yoann Etienne,FRA,DF,Lorient,Ligue 1,23,1997,1.0,1,0,0,2,1,0,2,2,1,0,0,0,10,1,3,25.0,Matches
834,Xabier Etxeita,ESP,DF,Getafe,La Liga,32,1987,9.8,3,0,0,14,2,0,0,10,6,0,0,1,112,18,24,42.9,Matches
835,Jonny Evans,NIR,DF,Leicester City,Premier League,32,1988,27.5,7,0,0,18,12,1,2,41,12,0,0,1,354,93,38,71.0,Matches
836,Edu Expósito,ESP,MF,Eibar,La Liga,23,1996,27.3,4,0,0,29,28,0,36,32,27,0,0,0,333,36,42,46.2,Matches
837,Valentin Eysseric,FRA,"MF,FW",Fiorentina,Serie A,28,1992,8.1,2,0,0,12,11,0,18,9,10,0,0,0,61,8,10,44.4,Matches
838,Eberechi Eze,ENG,MF,Crystal Palace,Premier League,22,1998,28.4,3,0,0,18,71,1,26,29,23,0,0,0,203,12,32,27.3,Matches
839,Jokin Ezkieta,ESP,GK,Athletic Club,La Liga,23,1996,1.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0,Matches
840,Łukasz Fabiański,POL,GK,West Ham,Premier League,35,1985,35.0,2,0,0,1,2,0,0,0,0,0,1,0,164,0,0,0.0,Matches
841,Fabinho,BRA,"DF,MF",Liverpool,Premier League,26,1993,28.5,6,0,0,29,27,0,2,49,51,1,2,0,319,62,52,54.4,Matches
842,Fábio,BRA,DF,Nantes,Ligue 1,30,1990,16.7,5,1,1,36,13,1,22,21,39,1,2,0,154,36,33,52.2,Matches
843,Cesc Fàbregas,ESP,MF,Monaco,Ligue 1,33,1987,9.7,2,0,0,15,13,0,15,3,14,0,0,0,83,9,12,42.9,Matches
844,Bandiougou Fadiga,FRA,"FW,MF",Paris S-G,Ligue 1,19,2001,0.7,1,0,0,2,2,0,1,1,1,0,0,0,5,0,0,0.0,Matches
845,Bandiougou Fadiga,FRA,MF,Brest,Ligue 1,19,2001,0.5,0,0,0,0,1,0,1,1,0,0,0,0,5,0,1,0.0,Matches
846,Wout Faes,BEL,DF,Reims,Ligue 1,22,1998,32.2,13,2,1,23,15,0,1,53,32,0,1,0,275,69,33,67.6,Matches
847,Nicolò Fagioli,ITA,MF,Juventus,Serie A,19,2001,0.2,0,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0.0,Matches
848,Ralf Fährmann,GER,GK,Schalke 04,Bundesliga,31,1988,20.8,2,0,0,0,3,0,0,0,0,0,0,0,114,0,0,0.0,Matches
849,Romain Faivre,FRA,"MF,FW",Brest,Ligue 1,22,1998,32.1,0,0,0,36,72,0,46,33,47,0,1,1,245,17,25,40.5,Matches
850,Fali,ESP,"DF,MF",Cádiz,La Liga,26,1993,29.3,11,0,0,21,25,0,13,24,21,0,1,0,181,44,33,57.1,Matches
851,Iago Falque,ESP,"MF,FW",Benevento,Serie A,30,1990,4.0,0,0,0,0,3,0,14,3,2,0,0,0,36,1,8,11.1,Matches
852,Andri Fannar Baldursson,ISL,MF,Bologna,Serie A,18,2002,2.4,2,0,0,9,3,1,0,1,3,0,0,0,19,5,5,50.0,Matches
853,Paolo Faragò,ITA,DF,Bologna,Serie A,27,1993,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,Matches
854,Paolo Faragò,ITA,"DF,MF",Cagliari,Serie A,27,1993,4.1,2,0,0,7,2,0,7,9,3,0,0,0,30,7,4,63.6,Matches
855,Davide Faraoni,ITA,DF,Hellas Verona,Serie A,28,1991,32.1,8,0,0,47,38,10,50,56,37,0,0,0,282,53,37,58.9,Matches
856,Mohamed Fares,ALG,DF,Lazio,Serie A,24,1996,12.7,5,0,0,28,8,2,47,13,9,0,1,0,97,12,13,48.0,Matches
857,Diego Farias,BRA,FW,Spezia,Serie A,30,1990,16.8,5,0,0,18,16,2,25,13,8,0,0,0,71,8,9,47.1,Matches
858,Wuilker Faríñez,VEN,GK,Lens,Ligue 1,22,1998,1.2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0.0,Matches
859,Noah Fatar,FRA,"FW,MF",Angers,Ligue 1,18,2002,0.2,0,0,0,3,0,0,0,1,0,0,0,0,2,0,1,0.0,Matches
860,Ansu Fati,ESP,FW,Barcelona,La Liga,17,2002,4.8,1,0,0,6,11,2,5,1,3,2,0,0,20,2,4,33.3,Matches
861,Julien Faussurier,FRA,DF,Brest,Ligue 1,33,1987,10.6,2,0,0,12,6,1,44,8,15,0,1,0,94,10,10,50.0,Matches
862,Andrea Favilli,ITA,FW,Hellas Verona,Serie A,23,1997,3.8,1,0,0,14,8,9,0,0,3,0,0,0,13,11,29,27.5,Matches
863,Federico Fazio,ARG,DF,Roma,Serie A,33,1987,4.5,2,0,0,6,3,0,2,5,4,0,1,0,44,20,8,71.4,Matches
864,Nabil Fekir,FRA,"MF,FW",Betis,La Liga,27,1993,29.1,5,1,0,80,93,13,56,12,36,3,0,0,156,21,74,22.1,Matches
865,Felipe,BRA,DF,Atlético Madrid,La Liga,31,1989,22.9,8,0,0,29,14,0,2,43,23,0,0,1,218,89,22,80.2,Matches
866,Luiz Felipe,BRA,DF,Lazio,Serie A,23,1997,10.1,5,0,0,14,8,1,1,21,26,0,0,0,85,13,16,44.8,Matches
867,Ohis Felix Uduokhai,GER,DF,Augsburg,Bundesliga,22,1997,29.0,5,0,0,24,24,1,7,36,24,0,1,1,278,109,52,67.7,Matches
868,João Félix,POR,"FW,MF",Atlético Madrid,La Liga,20,1999,17.5,6,0,0,16,48,6,13,9,6,1,0,0,94,23,30,43.4,Matches
869,Zinedine Ferhat,ALG,"FW,MF",Nîmes,Ligue 1,27,1993,32.9,2,0,0,23,66,9,83,34,19,3,0,0,189,74,73,50.3,Matches
870,Bruno Fernandes,POR,MF,Manchester Utd,Premier League,25,1994,34.4,6,0,0,43,53,3,91,22,39,0,1,0,239,13,43,23.2,Matches
871,Edimilson Fernandes,SUI,"MF,DF",Mainz 05,Bundesliga,24,1996,9.3,1,0,0,7,5,1,14,23,5,0,0,0,86,8,5,61.5,Matches
872,Aitor Fernández,ESP,GK,Levante,La Liga,29,1991,29.0,0,0,0,0,2,0,0,0,0,0,0,0,148,0,1,0.0,Matches
873,Álex Fernández,ESP,MF,Cádiz,La Liga,27,1992,21.6,1,0,0,11,31,1,41,21,15,0,0,0,186,22,28,44.0,Matches
874,Álvaro Fernández,ESP,GK,Huesca,La Liga,22,1998,22.0,0,0,0,0,3,0,0,0,0,0,0,0,108,0,0,0.0,Matches
875,Andrés Fernández,ESP,GK,Huesca,La Liga,33,1986,16.0,0,0,0,0,3,0,0,0,0,0,0,0,86,0,0,0.0,Matches
876,Augusto Fernández,ARG,MF,Cádiz,La Liga,34,1986,4.1,1,0,0,6,2,0,0,11,6,0,0,0,42,2,5,28.6,Matches
877,Carlos Fernández,ESP,FW,Sevilla,La Liga,24,1996,1.6,0,0,0,4,7,0,2,1,0,0,0,0,9,5,6,45.5,Matches
878,Carlos Fernández,ESP,"FW,MF",Real Sociedad,La Liga,24,1996,4.3,5,0,0,18,9,0,2,3,1,0,1,0,24,14,19,42.4,Matches
879,Federico Fernández,ARG,DF,Newcastle Utd,Premier League,31,1989,23.1,4,0,0,15,14,0,10,17,17,0,1,1,158,46,36,56.1,Matches
880,Joaquín Fernández,ESP,DF,Valladolid,La Liga,24,1996,23.0,8,0,0,28,13,3,1,33,18,1,1,0,197,65,46,58.6,Matches
881,Fernandinho,BRA,MF,Manchester City,Premier League,35,1985,13.2,6,0,0,22,10,0,6,26,22,0,0,0,132,29,18,61.7,Matches
882,Fernando,BRA,MF,Sevilla,La Liga,33,1987,28.3,6,0,0,40,16,1,2,40,52,0,0,0,289,58,39,59.8,Matches
883,Alex Ferrari,ITA,DF,Sampdoria,Serie A,26,1994,9.8,3,0,0,9,10,0,4,17,23,0,0,0,84,17,8,68.0,Matches
884,David Ferreiro,ESP,"MF,FW",Huesca,La Liga,32,1988,28.1,5,0,0,53,38,15,112,18,14,0,0,0,199,12,26,31.6,Matches
885,Salvador Ferrer,ESP,DF,Spezia,Serie A,22,1998,13.2,4,0,0,15,8,0,56,22,9,0,0,0,0,0,0,0.0,Matches
886,Facundo Ferreyra,ARG,FW,Celta Vigo,La Liga,29,1991,3.3,5,1,1,22,6,1,1,0,2,0,0,0,12,12,14,46.2,Matches
887,Jordan Ferri,FRA,MF,Montpellier,Ligue 1,28,1992,28.6,6,0,0,52,35,0,15,17,61,0,0,0,332,22,30,42.3,Matches
888,Marco Festa,ITA,GK,Crotone,Serie A,28,1992,1.0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.0,Matches
889,Fidel,ESP,"MF,DF",Elche,La Liga,30,1989,26.6,8,0,0,30,42,5,77,13,30,0,0,0,164,12,25,32.4,Matches
890,Sam Field,ENG,MF,West Brom,Premier League,22,1998,0.7,0,0,0,2,1,0,0,0,7,0,0,0,12,1,2,33.3,Matches
891,Alfreð Finnbogason,ISL,FW,Augsburg,Bundesliga,31,1989,6.0,0,0,0,10,5,2,10,1,1,0,0,0,39,17,26,39.5,Matches
892,Roberto Firmino,BRA,FW,Liverpool,Premier League,28,1991,31.5,2,0,0,22,17,4,32,10,22,0,0,0,204,25,87,22.3,Matches
893,Junior Firpo,ESP,DF,Barcelona,La Liga,23,1996,3.2,2,0,0,9,6,3,4,4,2,0,0,0,20,2,2,50.0,Matches
894,John Fleck,SCO,MF,Sheffield Utd,Premier League,28,1991,28.6,4,0,0,33,28,1,35,38,27,0,0,0,235,9,19,32.1,Matches
895,Mark Flekken,NED,GK,Freiburg,Bundesliga,27,1993,3.0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.0,Matches
896,Florian Flick,GER,MF,Schalke 04,Bundesliga,20,2000,4.0,1,0,0,4,2,0,0,6,7,0,0,0,38,5,8,38.5,Matches
897,Alexis Flips,FRA,MF,Reims,Ligue 1,20,2000,0.5,0,0,0,1,1,0,4,0,0,0,0,0,2,0,0,0.0,Matches
898,Alessandro Florenzi,ITA,DF,Paris S-G,Ligue 1,29,1991,17.1,1,0,0,10,7,2,71,16,19,0,0,0,132,11,24,31.4,Matches
899,Kingsley Fobi,GHA,DF,Granada,La Liga,21,1998,0.5,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0.0,Matches
900,Phil Foden,ENG,"FW,MF",Manchester City,Premier League,20,2000,18.0,0,0,0,13,34,3,36,12,16,0,0,0,93,14,30,31.8,Matches
901,Mamadou Fofana,MLI,"MF,DF",Metz,Ligue 1,22,1998,11.9,2,0,0,13,2,0,0,15,14,0,1,0,115,5,12,29.4,Matches
902,Seko Fofana,CIV,MF,Lens,Ligue 1,25,1995,25.7,2,0,0,21,23,1,21,32,11,1,1,0,207,27,22,55.1,Matches
903,Wesley Fofana,FRA,DF,Leicester City,Premier League,19,2000,25.1,7,0,0,37,29,2,1,51,41,1,1,0,279,94,55,63.1,Matches
904,Wesley Fofana,FRA,DF,Saint-Étienne,Ligue 1,19,2000,3.5,1,0,0,6,5,1,1,4,5,0,0,0,34,10,7,58.8,Matches
905,Youssouf Fofana,FRA,MF,Monaco,Ligue 1,21,1999,31.9,10,1,1,46,34,0,12,43,80,0,1,0,299,20,17,54.1,Matches
906,Thomas Foket,BEL,DF,Reims,Ligue 1,25,1994,36.9,4,0,0,34,34,4,51,57,46,1,0,1,261,29,43,40.3,Matches
907,Ramón Folch,ESP,MF,Elche,La Liga,30,1989,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
908,Lamine Fomba,FRA,MF,Nîmes,Ligue 1,22,1998,24.2,8,0,0,45,16,0,3,42,49,0,1,0,243,30,36,45.5,Matches
909,Thomas Fontaine,MAD,DF,Lorient,Ligue 1,29,1991,3.6,0,0,0,1,3,0,0,1,2,0,1,0,17,2,6,25.0,Matches
910,José Fontán,ESP,DF,Celta Vigo,La Liga,20,2000,7.2,3,1,1,17,3,1,7,9,7,0,0,0,56,12,9,57.1,Matches
911,José Fonte,POR,DF,Lille,Ligue 1,36,1983,35.4,7,0,0,30,16,0,11,34,27,1,1,1,358,89,32,73.6,Matches
912,Fernando Forestieri,ITA,"FW,MF",Udinese,Serie A,30,1990,6.1,1,0,0,12,21,5,9,1,9,0,0,0,45,6,14,30.0,Matches
913,Pablo Fornals,ESP,"FW,MF",West Ham,Premier League,24,1996,28.6,3,0,0,29,17,7,33,33,29,0,0,0,216,25,37,40.3,Matches
914,Emil Forsberg,SWE,"FW,MF",RB Leipzig,Bundesliga,28,1991,17.1,0,0,0,15,25,7,13,7,8,2,0,0,70,12,27,30.8,Matches
915,Fraser Forster,ENG,GK,Southampton,Premier League,32,1988,8.0,0,0,0,1,3,0,0,0,0,0,1,0,40,0,0,0.0,Matches
916,Philipp Förster,GER,"FW,MF",Stuttgart,Bundesliga,25,1995,16.8,4,0,0,24,21,4,19,16,22,0,0,0,101,12,15,44.4,Matches
917,Steven Fortes,CPV,DF,Lens,Ligue 1,28,1992,15.9,7,1,1,25,8,0,1,28,20,0,0,1,124,42,21,66.7,Matches
918,Yassin Fortune,FRA,FW,Angers,Ligue 1,21,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
919,Timothy Fosu-Mensah,NED,DF,Manchester Utd,Premier League,22,1998,0.9,1,0,0,1,0,1,5,1,1,0,0,0,11,1,0,100.0,Matches
920,Timothy Fosu-Mensah,NED,DF,Leverkusen,Bundesliga,22,1998,4.5,2,0,0,5,4,0,5,6,5,0,0,0,39,11,3,78.6,Matches
921,Daam Foulon,BEL,DF,Benevento,Serie A,21,1999,11.3,4,0,0,16,23,0,20,7,8,0,0,1,61,12,5,70.6,Matches
922,Dimitri Foulquier,FRA,DF,Granada,La Liga,27,1993,29.6,7,0,0,29,24,3,33,32,28,0,1,1,218,24,42,36.4,Matches
923,Juan Foyth,ARG,"DF,MF",Villarreal,La Liga,22,1998,13.0,6,0,0,20,14,0,2,19,26,0,1,0,129,35,22,61.4,Matches
924,Gianluca Frabotta,ITA,DF,Juventus,Serie A,21,1999,7.7,5,0,0,12,2,0,31,12,6,0,0,0,64,13,15,46.4,Matches
925,Raphael Framberger,GER,DF,Augsburg,Bundesliga,24,1995,17.1,6,1,1,13,12,1,42,27,16,0,2,1,157,22,32,40.7,Matches
926,Tyrese Francois,AUS,DF,Fulham,Premier League,20,2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
927,Ryan Fraser,SCO,"FW,MF",Newcastle Utd,Premier League,26,1994,10.3,2,1,1,5,20,0,52,3,1,1,0,0,58,5,26,16.1,Matches
928,Fred,BRA,MF,Manchester Utd,Premier League,27,1993,26.6,5,0,0,46,30,1,7,47,55,0,0,0,311,10,14,41.7,Matches
929,Ryan Fredericks,ENG,"DF,FW",West Ham,Premier League,27,1992,6.3,2,0,0,11,10,1,18,8,6,0,0,0,56,9,14,39.1,Matches
930,Remo Freuler,SUI,MF,Atalanta,Serie A,28,1992,30.1,5,0,0,40,31,1,18,50,56,0,0,0,384,27,29,48.2,Matches
931,Marco Friedl,AUT,DF,Werder Bremen,Bundesliga,22,1998,30.9,6,0,0,31,31,0,10,62,43,0,0,0,259,41,24,63.1,Matches
932,Marvin Friedrich,GER,DF,Union Berlin,Bundesliga,24,1995,34.0,1,0,0,26,22,2,9,44,39,0,1,0,348,93,68,57.8,Matches
933,Jeremie Frimpong,NED,"DF,FW",Leverkusen,Bundesliga,19,2000,4.8,1,0,0,8,12,0,16,3,3,0,0,0,31,6,12,33.3,Matches
934,Jorge de Frutos,ESP,"MF,FW",Levante,La Liga,23,1997,24.3,3,0,0,38,28,3,73,24,31,2,0,0,119,15,32,31.9,Matches
935,Christian Fuchs,AUT,DF,Leicester City,Premier League,34,1986,7.8,4,0,0,14,5,0,8,12,9,0,1,0,80,24,14,63.2,Matches
936,Angelo Fulgini,FRA,MF,Angers,Ligue 1,23,1996,30.3,4,0,0,29,130,3,44,15,14,0,0,0,233,19,47,28.8,Matches
937,Niclas Füllkrug,GER,"FW,MF",Werder Bremen,Bundesliga,27,1993,9.7,1,0,0,15,14,15,3,4,5,1,0,0,28,58,77,43.0,Matches
938,Ramiro Funes Mori,ARG,DF,Villarreal,La Liga,29,1991,8.1,1,0,0,7,3,0,2,14,3,0,0,0,70,24,12,66.7,Matches
939,Darnell Furlong,ENG,DF,West Brom,Premier League,24,1995,32.6,5,0,0,33,33,3,73,27,17,0,2,1,212,129,75,63.2,Matches
940,Daniel Fuzato,BRA,GK,Roma,Serie A,23,1997,5.0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0.0,Matches
941,Baptiste Gabard,FRA,MF,Saint-Étienne,Ligue 1,20,2000,1.5,1,0,0,2,3,0,0,0,3,0,0,0,12,1,3,25.0,Matches
942,Matteo Gabbia,ITA,DF,Milan,Serie A,20,1999,6.2,2,0,0,5,5,0,0,5,4,0,0,0,66,22,8,73.3,Matches
943,Manolo Gabbiadini,ITA,FW,Sampdoria,Serie A,28,1991,9.7,1,0,0,12,18,4,6,3,3,0,0,0,40,10,25,28.6,Matches
944,Mijat Gaćinović,SRB,"DF,MF",Hoffenheim,Bundesliga,25,1995,9.1,5,0,0,14,7,0,18,17,9,0,0,0,99,7,11,38.9,Matches
945,Roberto Gagliardini,ITA,MF,Inter,Serie A,26,1994,13.7,2,0,0,23,17,0,13,15,17,0,0,0,80,24,15,61.5,Matches
946,Riccardo Gagliolo,SWE,DF,Parma,Serie A,30,1990,21.7,6,0,0,28,34,0,39,30,30,0,0,0,174,27,28,49.1,Matches
947,Adolfo Gaich,ARG,FW,Benevento,Serie A,21,1999,8.5,1,0,0,24,19,3,3,5,3,0,1,0,28,15,52,22.4,Matches
948,Andrey Galabinov,BUL,FW,Spezia,Serie A,31,1988,4.8,0,0,0,5,4,3,1,0,1,0,0,0,17,9,24,27.3,Matches
949,Javi Galán,ESP,DF,Huesca,La Liga,25,1994,34.1,5,0,0,62,97,5,104,28,74,0,0,0,283,19,35,35.2,Matches
950,Conor Gallagher,ENG,MF,West Brom,Premier League,20,2000,28.1,11,0,0,43,63,0,32,39,53,0,0,0,272,24,37,39.3,Matches
951,Enric Gallego,ESP,FW,Osasuna,La Liga,33,1986,9.0,2,0,0,31,12,4,8,1,6,0,0,0,47,82,67,55.0,Matches
952,Kévin Gameiro,FRA,FW,Valencia,La Liga,33,1987,12.0,0,0,0,9,8,9,2,0,6,0,0,0,36,9,28,24.3,Matches
953,Idrissa Gana Gueye,SEN,MF,Paris S-G,Ligue 1,30,1989,17.6,3,0,0,35,19,0,7,25,45,0,0,0,200,25,20,55.6,Matches
954,Ignatius Ganago,CMR,FW,Lens,Ligue 1,21,1999,14.5,0,0,0,15,46,11,17,10,3,3,0,0,46,22,31,41.5,Matches
955,Aleix García,ESP,MF,Eibar,La Liga,23,1997,4.9,1,0,0,4,1,0,3,4,4,0,0,0,41,6,2,75.0,Matches
956,Borja García,ESP,"MF,FW",Huesca,La Liga,29,1990,12.4,0,0,0,3,33,1,9,10,10,0,0,0,96,9,12,42.9,Matches
957,Dani García,ESP,MF,Athletic Club,La Liga,30,1990,21.3,8,0,0,29,22,0,5,29,23,0,1,0,261,47,38,55.3,Matches
958,David García,ESP,DF,Osasuna,La Liga,26,1994,35.0,8,0,0,45,25,1,4,53,29,0,1,1,435,172,54,76.1,Matches
959,Eric García,ESP,DF,Manchester City,Premier League,19,2001,4.3,0,0,0,4,2,0,0,5,4,0,1,0,38,3,6,33.3,Matches
960,Manu García,ESP,MF,Alavés,La Liga,34,1986,12.5,9,1,1,18,28,1,7,13,18,0,0,0,103,44,34,56.4,Matches
961,Raúl García,ESP,"DF,MF",Valladolid,La Liga,31,1989,5.6,2,0,0,5,8,1,20,5,3,0,0,0,57,18,13,58.1,Matches
962,Raúl García,ESP,"FW,MF",Athletic Club,La Liga,34,1986,19.4,8,2,1,52,50,11,17,10,21,0,0,0,123,110,72,60.4,Matches
963,Rubén García,ESP,"MF,FW",Osasuna,La Liga,27,1993,30.2,2,0,0,42,41,6,91,27,39,1,0,0,200,59,69,46.1,Matches
964,Sergi García,ESP,MF,Alavés,La Liga,21,1999,0.2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,Matches
965,Unai García,ESP,DF,Osasuna,La Liga,28,1992,13.8,3,0,0,14,4,0,3,17,14,0,0,1,136,18,23,43.9,Matches
966,Mario Gaspar,ESP,DF,Villarreal,La Liga,29,1990,20.6,3,1,0,20,10,0,30,26,19,1,1,0,119,35,35,50.0,Matches
